MiB Mem :  16009.2 total,  11986.4 free,    863.8 used,   3159.0 buff/cache
MiB Mem :  16009.2 total,  11986.4 free,    863.8 used,   3159.0 buff/cache
MiB Mem :  16009.2 total,  11986.4 free,    863.8 used,   3159.0 buff/cache
MiB Mem :  16009.2 total,  11986.4 free,    863.8 used,   3159.0 buff/cache
MiB Mem :  16009.2 total,  11986.4 free,    863.8 used,   3159.0 buff/cache
MiB Mem :  16009.2 total,  11982.2 free,    867.9 used,   3159.1 buff/cache
MiB Mem :  16009.2 total,  11982.2 free,    867.9 used,   3159.1 buff/cache
MiB Mem :  16009.2 total,  11982.2 free,    867.9 used,   3159.1 buff/cache
MiB Mem :  16009.2 total,  11982.2 free,    867.9 used,   3159.1 buff/cache
MiB Mem :  16009.2 total,  11982.2 free,    867.9 used,   3159.1 buff/cache
MiB Mem :  16009.2 total,  11982.2 free,    867.9 used,   3159.1 buff/cache
MiB Mem :  16009.2 total,  11986.9 free,    863.1 used,   3159.2 buff/cache
MiB Mem :  16009.2 total,  11986.9 free,    863.1 used,   3159.2 buff/cache
MiB Mem :  16009.2 total,  11986.9 free,    863.1 used,   3159.2 buff/cache
MiB Mem :  16009.2 total,  11986.9 free,    863.1 used,   3159.2 buff/cache
MiB Mem :  16009.2 total,  11986.9 free,    863.1 used,   3159.2 buff/cache
MiB Mem :  16009.2 total,  11986.9 free,    863.1 used,   3159.2 buff/cache
MiB Mem :  16009.2 total,  11984.8 free,    865.1 used,   3159.3 buff/cache
MiB Mem :  16009.2 total,  11984.8 free,    865.1 used,   3159.3 buff/cache
MiB Mem :  16009.2 total,  11984.8 free,    865.1 used,   3159.3 buff/cache
MiB Mem :  16009.2 total,  11984.8 free,    865.1 used,   3159.3 buff/cache
MiB Mem :  16009.2 total,  11984.8 free,    865.1 used,   3159.3 buff/cache
MiB Mem :  16009.2 total,  11984.8 free,    865.1 used,   3159.3 buff/cache
MiB Mem :  16009.2 total,  11984.6 free,    865.1 used,   3159.5 buff/cache
MiB Mem :  16009.2 total,  11984.6 free,    865.1 used,   3159.5 buff/cache
MiB Mem :  16009.2 total,  11984.6 free,    865.1 used,   3159.5 buff/cache
MiB Mem :  16009.2 total,  11984.6 free,    865.1 used,   3159.5 buff/cache
MiB Mem :  16009.2 total,  11984.6 free,    865.1 used,   3159.5 buff/cache
MiB Mem :  16009.2 total,  11984.6 free,    865.1 used,   3159.5 buff/cache
MiB Mem :  16009.2 total,  11983.7 free,    866.0 used,   3159.6 buff/cache
MiB Mem :  16009.2 total,  11983.7 free,    866.0 used,   3159.6 buff/cache
MiB Mem :  16009.2 total,  11983.7 free,    866.0 used,   3159.6 buff/cache
MiB Mem :  16009.2 total,  11983.7 free,    866.0 used,   3159.6 buff/cache
MiB Mem :  16009.2 total,  11983.7 free,    866.0 used,   3159.6 buff/cache
MiB Mem :  16009.2 total,  11983.7 free,    866.0 used,   3159.6 buff/cache
MiB Mem :  16009.2 total,  11982.6 free,    866.9 used,   3159.7 buff/cache
MiB Mem :  16009.2 total,  11982.6 free,    866.9 used,   3159.7 buff/cache
MiB Mem :  16009.2 total,  11982.6 free,    866.9 used,   3159.7 buff/cache
MiB Mem :  16009.2 total,  11982.6 free,    866.9 used,   3159.7 buff/cache
MiB Mem :  16009.2 total,  11982.6 free,    866.9 used,   3159.7 buff/cache
MiB Mem :  16009.2 total,  11982.6 free,    866.9 used,   3159.7 buff/cache
MiB Mem :  16009.2 total,  11984.1 free,    865.3 used,   3159.8 buff/cache
MiB Mem :  16009.2 total,  11984.1 free,    865.3 used,   3159.8 buff/cache
MiB Mem :  16009.2 total,  11984.1 free,    865.3 used,   3159.8 buff/cache
MiB Mem :  16009.2 total,  11984.1 free,    865.3 used,   3159.8 buff/cache
MiB Mem :  16009.2 total,  11984.1 free,    865.3 used,   3159.8 buff/cache
MiB Mem :  16009.2 total,  11984.1 free,    865.3 used,   3159.8 buff/cache
MiB Mem :  16009.2 total,  11983.8 free,    865.5 used,   3159.9 buff/cache
MiB Mem :  16009.2 total,  11983.8 free,    865.5 used,   3159.9 buff/cache
MiB Mem :  16009.2 total,  11983.8 free,    865.5 used,   3159.9 buff/cache
MiB Mem :  16009.2 total,  11983.8 free,    865.5 used,   3159.9 buff/cache
MiB Mem :  16009.2 total,  11983.8 free,    865.5 used,   3159.9 buff/cache
MiB Mem :  16009.2 total,  11983.8 free,    865.5 used,   3159.9 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    864.0 used,   3160.0 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    864.0 used,   3160.0 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    864.0 used,   3160.0 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    864.0 used,   3160.0 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    864.0 used,   3160.0 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    864.0 used,   3160.0 buff/cache
MiB Mem :  16009.2 total,  11985.7 free,    863.5 used,   3160.1 buff/cache
MiB Mem :  16009.2 total,  11985.7 free,    863.5 used,   3160.1 buff/cache
MiB Mem :  16009.2 total,  11985.7 free,    863.5 used,   3160.1 buff/cache
MiB Mem :  16009.2 total,  11985.7 free,    863.5 used,   3160.1 buff/cache
MiB Mem :  16009.2 total,  11985.7 free,    863.5 used,   3160.1 buff/cache
