MiB Mem :  16009.2 total,  11786.4 free,    993.0 used,   3229.9 buff/cache
MiB Mem :  16009.2 total,  11786.4 free,    993.0 used,   3229.9 buff/cache
MiB Mem :  16009.2 total,  11786.4 free,    993.0 used,   3229.9 buff/cache
MiB Mem :  16009.2 total,  11786.4 free,    993.0 used,   3229.9 buff/cache
MiB Mem :  16009.2 total,  11786.4 free,    993.0 used,   3229.9 buff/cache
MiB Mem :  16009.2 total,  11786.4 free,    993.0 used,   3229.9 buff/cache
MiB Mem :  16009.2 total,  11784.2 free,    995.1 used,   3230.0 buff/cache
MiB Mem :  16009.2 total,  11784.2 free,    995.1 used,   3230.0 buff/cache
MiB Mem :  16009.2 total,  11784.2 free,    995.1 used,   3230.0 buff/cache
MiB Mem :  16009.2 total,  11784.2 free,    995.1 used,   3230.0 buff/cache
MiB Mem :  16009.2 total,  11784.2 free,    995.1 used,   3230.0 buff/cache
MiB Mem :  16009.2 total,  11784.2 free,    995.1 used,   3230.0 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    995.6 used,   3230.1 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    995.6 used,   3230.1 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    995.6 used,   3230.1 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    995.6 used,   3230.1 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    995.6 used,   3230.1 buff/cache
MiB Mem :  16009.2 total,  11781.8 free,    997.2 used,   3230.2 buff/cache
MiB Mem :  16009.2 total,  11781.8 free,    997.2 used,   3230.2 buff/cache
MiB Mem :  16009.2 total,  11781.8 free,    997.2 used,   3230.2 buff/cache
MiB Mem :  16009.2 total,  11781.8 free,    997.2 used,   3230.2 buff/cache
MiB Mem :  16009.2 total,  11781.8 free,    997.2 used,   3230.2 buff/cache
MiB Mem :  16009.2 total,  11781.8 free,    997.2 used,   3230.2 buff/cache
MiB Mem :  16009.2 total,  11782.5 free,    996.4 used,   3230.3 buff/cache
MiB Mem :  16009.2 total,  11782.5 free,    996.4 used,   3230.3 buff/cache
MiB Mem :  16009.2 total,  11782.5 free,    996.4 used,   3230.3 buff/cache
MiB Mem :  16009.2 total,  11782.5 free,    996.4 used,   3230.3 buff/cache
MiB Mem :  16009.2 total,  11782.5 free,    996.4 used,   3230.3 buff/cache
MiB Mem :  16009.2 total,  11782.5 free,    996.4 used,   3230.3 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    997.4 used,   3230.4 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    997.4 used,   3230.4 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    997.4 used,   3230.4 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    997.4 used,   3230.4 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    997.4 used,   3230.4 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    997.4 used,   3230.4 buff/cache
MiB Mem :  16009.2 total,  11781.0 free,    997.7 used,   3230.6 buff/cache
MiB Mem :  16009.2 total,  11781.0 free,    997.7 used,   3230.6 buff/cache
MiB Mem :  16009.2 total,  11781.0 free,    997.7 used,   3230.6 buff/cache
MiB Mem :  16009.2 total,  11781.0 free,    997.7 used,   3230.6 buff/cache
MiB Mem :  16009.2 total,  11781.0 free,    997.7 used,   3230.6 buff/cache
MiB Mem :  16009.2 total,  11781.0 free,    997.7 used,   3230.6 buff/cache
MiB Mem :  16009.2 total,  11782.4 free,    996.1 used,   3230.7 buff/cache
MiB Mem :  16009.2 total,  11782.4 free,    996.1 used,   3230.7 buff/cache
MiB Mem :  16009.2 total,  11782.4 free,    996.1 used,   3230.7 buff/cache
MiB Mem :  16009.2 total,  11782.4 free,    996.1 used,   3230.7 buff/cache
MiB Mem :  16009.2 total,  11782.4 free,    996.1 used,   3230.7 buff/cache
MiB Mem :  16009.2 total,  11782.4 free,    996.1 used,   3230.7 buff/cache
MiB Mem :  16009.2 total,  11782.6 free,    995.8 used,   3230.8 buff/cache
MiB Mem :  16009.2 total,  11782.6 free,    995.8 used,   3230.8 buff/cache
MiB Mem :  16009.2 total,  11782.6 free,    995.8 used,   3230.8 buff/cache
MiB Mem :  16009.2 total,  11782.6 free,    995.8 used,   3230.8 buff/cache
MiB Mem :  16009.2 total,  11782.6 free,    995.8 used,   3230.8 buff/cache
MiB Mem :  16009.2 total,  11782.6 free,    995.8 used,   3230.8 buff/cache
MiB Mem :  16009.2 total,  11783.2 free,    995.1 used,   3230.9 buff/cache
MiB Mem :  16009.2 total,  11783.2 free,    995.1 used,   3230.9 buff/cache
MiB Mem :  16009.2 total,  11783.2 free,    995.1 used,   3230.9 buff/cache
MiB Mem :  16009.2 total,  11783.2 free,    995.1 used,   3230.9 buff/cache
MiB Mem :  16009.2 total,  11783.2 free,    995.1 used,   3230.9 buff/cache
MiB Mem :  16009.2 total,  11783.2 free,    995.1 used,   3230.9 buff/cache
MiB Mem :  16009.2 total,  11785.9 free,    992.3 used,   3231.0 buff/cache
MiB Mem :  16009.2 total,  11785.9 free,    992.3 used,   3231.0 buff/cache
MiB Mem :  16009.2 total,  11785.9 free,    992.3 used,   3231.0 buff/cache
MiB Mem :  16009.2 total,  11785.9 free,    992.3 used,   3231.0 buff/cache
MiB Mem :  16009.2 total,  11785.9 free,    992.3 used,   3231.0 buff/cache
