MiB Mem :  16009.2 total,  11993.8 free,    857.7 used,   3157.7 buff/cache
MiB Mem :  16009.2 total,  11993.8 free,    857.7 used,   3157.7 buff/cache
MiB Mem :  16009.2 total,  11993.8 free,    857.7 used,   3157.7 buff/cache
MiB Mem :  16009.2 total,  11993.8 free,    857.7 used,   3157.7 buff/cache
MiB Mem :  16009.2 total,  11993.8 free,    857.7 used,   3157.7 buff/cache
MiB Mem :  16009.2 total,  11991.7 free,    859.7 used,   3157.8 buff/cache
MiB Mem :  16009.2 total,  11991.7 free,    859.7 used,   3157.8 buff/cache
MiB Mem :  16009.2 total,  11991.7 free,    859.7 used,   3157.8 buff/cache
MiB Mem :  16009.2 total,  11991.7 free,    859.7 used,   3157.8 buff/cache
MiB Mem :  16009.2 total,  11991.7 free,    859.7 used,   3157.8 buff/cache
MiB Mem :  16009.2 total,  11991.7 free,    859.7 used,   3157.8 buff/cache
MiB Mem :  16009.2 total,  11990.7 free,    860.5 used,   3157.9 buff/cache
MiB Mem :  16009.2 total,  11990.7 free,    860.5 used,   3157.9 buff/cache
MiB Mem :  16009.2 total,  11990.7 free,    860.5 used,   3157.9 buff/cache
MiB Mem :  16009.2 total,  11990.7 free,    860.5 used,   3157.9 buff/cache
MiB Mem :  16009.2 total,  11990.7 free,    860.5 used,   3157.9 buff/cache
MiB Mem :  16009.2 total,  11990.7 free,    860.5 used,   3157.9 buff/cache
MiB Mem :  16009.2 total,  11989.0 free,    862.1 used,   3158.1 buff/cache
MiB Mem :  16009.2 total,  11989.0 free,    862.1 used,   3158.1 buff/cache
MiB Mem :  16009.2 total,  11989.0 free,    862.1 used,   3158.1 buff/cache
MiB Mem :  16009.2 total,  11989.0 free,    862.1 used,   3158.1 buff/cache
MiB Mem :  16009.2 total,  11989.0 free,    862.1 used,   3158.1 buff/cache
MiB Mem :  16009.2 total,  11989.0 free,    862.1 used,   3158.1 buff/cache
MiB Mem :  16009.2 total,  11988.8 free,    862.3 used,   3158.2 buff/cache
MiB Mem :  16009.2 total,  11988.8 free,    862.3 used,   3158.2 buff/cache
MiB Mem :  16009.2 total,  11988.8 free,    862.3 used,   3158.2 buff/cache
MiB Mem :  16009.2 total,  11988.8 free,    862.3 used,   3158.2 buff/cache
MiB Mem :  16009.2 total,  11988.8 free,    862.3 used,   3158.2 buff/cache
MiB Mem :  16009.2 total,  11988.8 free,    862.3 used,   3158.2 buff/cache
MiB Mem :  16009.2 total,  11988.6 free,    862.3 used,   3158.3 buff/cache
MiB Mem :  16009.2 total,  11988.6 free,    862.3 used,   3158.3 buff/cache
MiB Mem :  16009.2 total,  11988.6 free,    862.3 used,   3158.3 buff/cache
MiB Mem :  16009.2 total,  11988.6 free,    862.3 used,   3158.3 buff/cache
MiB Mem :  16009.2 total,  11988.6 free,    862.3 used,   3158.3 buff/cache
MiB Mem :  16009.2 total,  11988.6 free,    862.3 used,   3158.3 buff/cache
MiB Mem :  16009.2 total,  11988.4 free,    862.4 used,   3158.4 buff/cache
MiB Mem :  16009.2 total,  11988.4 free,    862.4 used,   3158.4 buff/cache
MiB Mem :  16009.2 total,  11988.4 free,    862.4 used,   3158.4 buff/cache
MiB Mem :  16009.2 total,  11988.4 free,    862.4 used,   3158.4 buff/cache
MiB Mem :  16009.2 total,  11988.4 free,    862.4 used,   3158.4 buff/cache
MiB Mem :  16009.2 total,  11988.4 free,    862.4 used,   3158.4 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.5 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.5 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.5 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.5 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.5 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.5 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.6 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.6 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.6 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.6 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.6 buff/cache
MiB Mem :  16009.2 total,  11987.6 free,    863.1 used,   3158.6 buff/cache
MiB Mem :  16009.2 total,  11986.6 free,    863.9 used,   3158.7 buff/cache
