MiB Mem :  16009.2 total,  11958.3 free,    878.2 used,   3172.8 buff/cache
MiB Mem :  16009.2 total,  11958.3 free,    878.2 used,   3172.8 buff/cache
MiB Mem :  16009.2 total,  11958.3 free,    878.2 used,   3172.8 buff/cache
MiB Mem :  16009.2 total,  11958.3 free,    878.2 used,   3172.8 buff/cache
MiB Mem :  16009.2 total,  11958.3 free,    878.2 used,   3172.8 buff/cache
MiB Mem :  16009.2 total,  11958.3 free,    878.2 used,   3172.8 buff/cache
MiB Mem :  16009.2 total,  11957.3 free,    879.1 used,   3172.9 buff/cache
MiB Mem :  16009.2 total,  11957.3 free,    879.1 used,   3172.9 buff/cache
MiB Mem :  16009.2 total,  11957.3 free,    879.1 used,   3172.9 buff/cache
MiB Mem :  16009.2 total,  11957.3 free,    879.1 used,   3172.9 buff/cache
MiB Mem :  16009.2 total,  11957.3 free,    879.1 used,   3172.9 buff/cache
MiB Mem :  16009.2 total,  11957.3 free,    879.1 used,   3172.9 buff/cache
MiB Mem :  16009.2 total,  11957.5 free,    878.8 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.5 free,    878.8 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.5 free,    878.8 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.5 free,    878.8 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.5 free,    878.8 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.5 free,    878.8 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.4 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.4 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.4 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.4 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.4 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.4 used,   3173.0 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.3 used,   3173.1 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.3 used,   3173.1 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.3 used,   3173.1 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.3 used,   3173.1 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.3 used,   3173.1 buff/cache
MiB Mem :  16009.2 total,  11957.8 free,    878.3 used,   3173.1 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.8 used,   3173.2 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.8 used,   3173.2 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.8 used,   3173.2 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.8 used,   3173.2 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.8 used,   3173.2 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.8 used,   3173.2 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.7 used,   3173.3 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.7 used,   3173.3 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.7 used,   3173.3 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.7 used,   3173.3 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.7 used,   3173.3 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.7 used,   3173.3 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.6 used,   3173.4 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.6 used,   3173.4 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.6 used,   3173.4 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.6 used,   3173.4 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.6 used,   3173.4 buff/cache
MiB Mem :  16009.2 total,  11956.2 free,    879.6 used,   3173.4 buff/cache
MiB Mem :  16009.2 total,  11956.6 free,    879.1 used,   3173.5 buff/cache
MiB Mem :  16009.2 total,  11956.6 free,    879.1 used,   3173.5 buff/cache
MiB Mem :  16009.2 total,  11956.6 free,    879.1 used,   3173.5 buff/cache
MiB Mem :  16009.2 total,  11956.6 free,    879.1 used,   3173.5 buff/cache
MiB Mem :  16009.2 total,  11956.6 free,    879.1 used,   3173.5 buff/cache
MiB Mem :  16009.2 total,  11956.4 free,    879.3 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11956.4 free,    879.3 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11956.4 free,    879.3 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11956.4 free,    879.3 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11956.4 free,    879.3 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11956.4 free,    879.3 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11957.1 free,    878.4 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11957.1 free,    878.4 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11957.1 free,    878.4 used,   3173.6 buff/cache
MiB Mem :  16009.2 total,  11957.1 free,    878.4 used,   3173.6 buff/cache
