MiB Mem :  16009.2 total,  11403.9 free,   1379.5 used,   3225.8 buff/cache
MiB Mem :  16009.2 total,  11403.9 free,   1379.5 used,   3225.8 buff/cache
MiB Mem :  16009.2 total,  11403.9 free,   1379.5 used,   3225.8 buff/cache
MiB Mem :  16009.2 total,  11403.9 free,   1379.5 used,   3225.8 buff/cache
MiB Mem :  16009.2 total,  11403.9 free,   1379.5 used,   3225.8 buff/cache
MiB Mem :  16009.2 total,  11403.9 free,   1379.5 used,   3225.8 buff/cache
MiB Mem :  16009.2 total,  11401.4 free,   1381.9 used,   3226.0 buff/cache
MiB Mem :  16009.2 total,  11401.4 free,   1381.9 used,   3226.0 buff/cache
MiB Mem :  16009.2 total,  11401.4 free,   1381.9 used,   3226.0 buff/cache
MiB Mem :  16009.2 total,  11401.4 free,   1381.9 used,   3226.0 buff/cache
MiB Mem :  16009.2 total,  11401.4 free,   1381.9 used,   3226.0 buff/cache
MiB Mem :  16009.2 total,  11401.4 free,   1381.9 used,   3226.0 buff/cache
MiB Mem :  16009.2 total,  11402.9 free,   1380.3 used,   3226.1 buff/cache
MiB Mem :  16009.2 total,  11402.9 free,   1380.3 used,   3226.1 buff/cache
MiB Mem :  16009.2 total,  11402.9 free,   1380.3 used,   3226.1 buff/cache
MiB Mem :  16009.2 total,  11402.9 free,   1380.3 used,   3226.1 buff/cache
MiB Mem :  16009.2 total,  11402.9 free,   1380.3 used,   3226.1 buff/cache
MiB Mem :  16009.2 total,  11402.9 free,   1380.3 used,   3226.1 buff/cache
MiB Mem :  16009.2 total,  11402.4 free,   1380.6 used,   3226.2 buff/cache
MiB Mem :  16009.2 total,  11402.4 free,   1380.6 used,   3226.2 buff/cache
MiB Mem :  16009.2 total,  11402.4 free,   1380.6 used,   3226.2 buff/cache
MiB Mem :  16009.2 total,  11402.4 free,   1380.6 used,   3226.2 buff/cache
MiB Mem :  16009.2 total,  11402.4 free,   1380.6 used,   3226.2 buff/cache
MiB Mem :  16009.2 total,  11402.4 free,   1380.6 used,   3226.2 buff/cache
MiB Mem :  16009.2 total,  11398.4 free,   1384.5 used,   3226.3 buff/cache
MiB Mem :  16009.2 total,  11398.4 free,   1384.5 used,   3226.3 buff/cache
MiB Mem :  16009.2 total,  11398.4 free,   1384.5 used,   3226.3 buff/cache
MiB Mem :  16009.2 total,  11398.4 free,   1384.5 used,   3226.3 buff/cache
MiB Mem :  16009.2 total,  11398.4 free,   1384.5 used,   3226.3 buff/cache
MiB Mem :  16009.2 total,  11398.4 free,   1384.5 used,   3226.3 buff/cache
MiB Mem :  16009.2 total,  11400.9 free,   1381.8 used,   3226.5 buff/cache
MiB Mem :  16009.2 total,  11400.9 free,   1381.8 used,   3226.5 buff/cache
MiB Mem :  16009.2 total,  11400.9 free,   1381.8 used,   3226.5 buff/cache
MiB Mem :  16009.2 total,  11400.9 free,   1381.8 used,   3226.5 buff/cache
MiB Mem :  16009.2 total,  11400.9 free,   1381.8 used,   3226.5 buff/cache
MiB Mem :  16009.2 total,  11400.0 free,   1382.5 used,   3226.7 buff/cache
MiB Mem :  16009.2 total,  11400.0 free,   1382.5 used,   3226.7 buff/cache
MiB Mem :  16009.2 total,  11400.0 free,   1382.5 used,   3226.7 buff/cache
MiB Mem :  16009.2 total,  11400.0 free,   1382.5 used,   3226.7 buff/cache
MiB Mem :  16009.2 total,  11400.0 free,   1382.5 used,   3226.7 buff/cache
MiB Mem :  16009.2 total,  11400.0 free,   1382.5 used,   3226.7 buff/cache
MiB Mem :  16009.2 total,  11397.9 free,   1384.4 used,   3226.8 buff/cache
MiB Mem :  16009.2 total,  11397.9 free,   1384.4 used,   3226.8 buff/cache
MiB Mem :  16009.2 total,  11397.9 free,   1384.4 used,   3226.8 buff/cache
MiB Mem :  16009.2 total,  11397.9 free,   1384.4 used,   3226.8 buff/cache
MiB Mem :  16009.2 total,  11397.9 free,   1384.4 used,   3226.8 buff/cache
MiB Mem :  16009.2 total,  11397.9 free,   1384.4 used,   3226.8 buff/cache
MiB Mem :  16009.2 total,  11396.2 free,   1386.1 used,   3227.0 buff/cache
MiB Mem :  16009.2 total,  11396.2 free,   1386.1 used,   3227.0 buff/cache
MiB Mem :  16009.2 total,  11396.2 free,   1386.1 used,   3227.0 buff/cache
MiB Mem :  16009.2 total,  11396.2 free,   1386.1 used,   3227.0 buff/cache
MiB Mem :  16009.2 total,  11396.2 free,   1386.1 used,   3227.0 buff/cache
MiB Mem :  16009.2 total,  11396.2 free,   1386.1 used,   3227.0 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1385.0 used,   3227.1 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1385.0 used,   3227.1 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1385.0 used,   3227.1 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1385.0 used,   3227.1 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1385.0 used,   3227.1 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1385.0 used,   3227.1 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1384.9 used,   3227.2 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1384.9 used,   3227.2 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1384.9 used,   3227.2 buff/cache
MiB Mem :  16009.2 total,  11397.1 free,   1384.9 used,   3227.2 buff/cache
