MiB Mem :  16009.2 total,  11774.5 free,    994.0 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.5 free,    994.0 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.5 free,    994.0 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.5 free,    994.0 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.5 free,    994.0 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.8 free,    993.6 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.8 free,    993.6 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.8 free,    993.6 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.8 free,    993.6 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.8 free,    993.6 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.8 free,    993.6 used,   3240.8 buff/cache
MiB Mem :  16009.2 total,  11774.4 free,    993.9 used,   3240.9 buff/cache
MiB Mem :  16009.2 total,  11774.4 free,    993.9 used,   3240.9 buff/cache
MiB Mem :  16009.2 total,  11774.4 free,    993.9 used,   3240.9 buff/cache
MiB Mem :  16009.2 total,  11774.4 free,    993.9 used,   3240.9 buff/cache
MiB Mem :  16009.2 total,  11774.4 free,    993.9 used,   3240.9 buff/cache
MiB Mem :  16009.2 total,  11774.4 free,    993.9 used,   3240.9 buff/cache
MiB Mem :  16009.2 total,  11773.9 free,    994.3 used,   3241.0 buff/cache
MiB Mem :  16009.2 total,  11773.9 free,    994.3 used,   3241.0 buff/cache
MiB Mem :  16009.2 total,  11773.9 free,    994.3 used,   3241.0 buff/cache
MiB Mem :  16009.2 total,  11773.9 free,    994.3 used,   3241.0 buff/cache
MiB Mem :  16009.2 total,  11773.9 free,    994.3 used,   3241.0 buff/cache
MiB Mem :  16009.2 total,  11773.9 free,    994.3 used,   3241.0 buff/cache
MiB Mem :  16009.2 total,  11772.9 free,    995.2 used,   3241.1 buff/cache
MiB Mem :  16009.2 total,  11772.9 free,    995.2 used,   3241.1 buff/cache
MiB Mem :  16009.2 total,  11772.9 free,    995.2 used,   3241.1 buff/cache
MiB Mem :  16009.2 total,  11772.9 free,    995.2 used,   3241.1 buff/cache
MiB Mem :  16009.2 total,  11772.9 free,    995.2 used,   3241.1 buff/cache
MiB Mem :  16009.2 total,  11772.9 free,    995.2 used,   3241.1 buff/cache
MiB Mem :  16009.2 total,  11773.7 free,    994.3 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11773.7 free,    994.3 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11773.7 free,    994.3 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11773.7 free,    994.3 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11773.7 free,    994.3 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11773.7 free,    994.3 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11771.9 free,    996.0 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11771.9 free,    996.0 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11771.9 free,    996.0 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11771.9 free,    996.0 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11771.9 free,    996.0 used,   3241.2 buff/cache
MiB Mem :  16009.2 total,  11771.6 free,    996.3 used,   3241.3 buff/cache
MiB Mem :  16009.2 total,  11771.6 free,    996.3 used,   3241.3 buff/cache
MiB Mem :  16009.2 total,  11771.6 free,    996.3 used,   3241.3 buff/cache
MiB Mem :  16009.2 total,  11771.6 free,    996.3 used,   3241.3 buff/cache
MiB Mem :  16009.2 total,  11771.6 free,    996.3 used,   3241.3 buff/cache
MiB Mem :  16009.2 total,  11771.6 free,    996.3 used,   3241.3 buff/cache
MiB Mem :  16009.2 total,  11771.7 free,    996.2 used,   3241.4 buff/cache
MiB Mem :  16009.2 total,  11771.7 free,    996.2 used,   3241.4 buff/cache
MiB Mem :  16009.2 total,  11771.7 free,    996.2 used,   3241.4 buff/cache
MiB Mem :  16009.2 total,  11771.7 free,    996.2 used,   3241.4 buff/cache
MiB Mem :  16009.2 total,  11771.7 free,    996.2 used,   3241.4 buff/cache
MiB Mem :  16009.2 total,  11771.7 free,    996.2 used,   3241.4 buff/cache
MiB Mem :  16009.2 total,  11771.5 free,    996.2 used,   3241.5 buff/cache
MiB Mem :  16009.2 total,  11771.5 free,    996.2 used,   3241.5 buff/cache
MiB Mem :  16009.2 total,  11771.5 free,    996.2 used,   3241.5 buff/cache
MiB Mem :  16009.2 total,  11771.5 free,    996.2 used,   3241.5 buff/cache
MiB Mem :  16009.2 total,  11771.5 free,    996.2 used,   3241.5 buff/cache
MiB Mem :  16009.2 total,  11771.5 free,    996.2 used,   3241.5 buff/cache
MiB Mem :  16009.2 total,  11772.5 free,    995.2 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11772.5 free,    995.2 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11772.5 free,    995.2 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11772.5 free,    995.2 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11772.5 free,    995.2 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11772.5 free,    995.2 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11773.1 free,    994.5 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11773.1 free,    994.5 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11773.1 free,    994.5 used,   3241.6 buff/cache
MiB Mem :  16009.2 total,  11773.1 free,    994.5 used,   3241.6 buff/cache
