MiB Mem :  16009.2 total,  11541.6 free,   1219.7 used,   3247.9 buff/cache
MiB Mem :  16009.2 total,  11541.6 free,   1219.7 used,   3247.9 buff/cache
MiB Mem :  16009.2 total,  11541.6 free,   1219.7 used,   3247.9 buff/cache
MiB Mem :  16009.2 total,  11541.6 free,   1219.7 used,   3247.9 buff/cache
MiB Mem :  16009.2 total,  11541.6 free,   1219.7 used,   3247.9 buff/cache
MiB Mem :  16009.2 total,  11541.6 free,   1219.7 used,   3247.9 buff/cache
MiB Mem :  16009.2 total,  11540.8 free,   1220.4 used,   3248.0 buff/cache
MiB Mem :  16009.2 total,  11540.8 free,   1220.4 used,   3248.0 buff/cache
MiB Mem :  16009.2 total,  11540.8 free,   1220.4 used,   3248.0 buff/cache
MiB Mem :  16009.2 total,  11540.8 free,   1220.4 used,   3248.0 buff/cache
MiB Mem :  16009.2 total,  11540.8 free,   1220.4 used,   3248.0 buff/cache
MiB Mem :  16009.2 total,  11540.8 free,   1220.4 used,   3248.0 buff/cache
MiB Mem :  16009.2 total,  11540.0 free,   1221.2 used,   3248.1 buff/cache
MiB Mem :  16009.2 total,  11540.0 free,   1221.2 used,   3248.1 buff/cache
MiB Mem :  16009.2 total,  11540.0 free,   1221.2 used,   3248.1 buff/cache
MiB Mem :  16009.2 total,  11540.0 free,   1221.2 used,   3248.1 buff/cache
MiB Mem :  16009.2 total,  11540.0 free,   1221.2 used,   3248.1 buff/cache
MiB Mem :  16009.2 total,  11540.0 free,   1221.2 used,   3248.1 buff/cache
MiB Mem :  16009.2 total,  11537.7 free,   1223.3 used,   3248.2 buff/cache
MiB Mem :  16009.2 total,  11537.7 free,   1223.3 used,   3248.2 buff/cache
MiB Mem :  16009.2 total,  11537.7 free,   1223.3 used,   3248.2 buff/cache
MiB Mem :  16009.2 total,  11537.7 free,   1223.3 used,   3248.2 buff/cache
MiB Mem :  16009.2 total,  11537.7 free,   1223.3 used,   3248.2 buff/cache
MiB Mem :  16009.2 total,  11537.7 free,   1223.3 used,   3248.2 buff/cache
MiB Mem :  16009.2 total,  11541.5 free,   1219.4 used,   3248.3 buff/cache
MiB Mem :  16009.2 total,  11541.5 free,   1219.4 used,   3248.3 buff/cache
MiB Mem :  16009.2 total,  11541.5 free,   1219.4 used,   3248.3 buff/cache
MiB Mem :  16009.2 total,  11541.5 free,   1219.4 used,   3248.3 buff/cache
MiB Mem :  16009.2 total,  11541.5 free,   1219.4 used,   3248.3 buff/cache
MiB Mem :  16009.2 total,  11540.5 free,   1220.3 used,   3248.4 buff/cache
MiB Mem :  16009.2 total,  11540.5 free,   1220.3 used,   3248.4 buff/cache
MiB Mem :  16009.2 total,  11540.5 free,   1220.3 used,   3248.4 buff/cache
MiB Mem :  16009.2 total,  11540.5 free,   1220.3 used,   3248.4 buff/cache
MiB Mem :  16009.2 total,  11540.5 free,   1220.3 used,   3248.4 buff/cache
MiB Mem :  16009.2 total,  11540.5 free,   1220.3 used,   3248.4 buff/cache
MiB Mem :  16009.2 total,  11537.9 free,   1222.9 used,   3248.5 buff/cache
MiB Mem :  16009.2 total,  11537.9 free,   1222.9 used,   3248.5 buff/cache
MiB Mem :  16009.2 total,  11537.9 free,   1222.9 used,   3248.5 buff/cache
MiB Mem :  16009.2 total,  11537.9 free,   1222.9 used,   3248.5 buff/cache
MiB Mem :  16009.2 total,  11537.9 free,   1222.9 used,   3248.5 buff/cache
MiB Mem :  16009.2 total,  11537.9 free,   1222.9 used,   3248.5 buff/cache
MiB Mem :  16009.2 total,  11537.5 free,   1223.2 used,   3248.6 buff/cache
MiB Mem :  16009.2 total,  11537.5 free,   1223.2 used,   3248.6 buff/cache
MiB Mem :  16009.2 total,  11537.5 free,   1223.2 used,   3248.6 buff/cache
MiB Mem :  16009.2 total,  11537.5 free,   1223.2 used,   3248.6 buff/cache
MiB Mem :  16009.2 total,  11537.5 free,   1223.2 used,   3248.6 buff/cache
MiB Mem :  16009.2 total,  11537.5 free,   1223.2 used,   3248.6 buff/cache
MiB Mem :  16009.2 total,  11537.3 free,   1223.2 used,   3248.7 buff/cache
MiB Mem :  16009.2 total,  11537.3 free,   1223.2 used,   3248.7 buff/cache
MiB Mem :  16009.2 total,  11537.3 free,   1223.2 used,   3248.7 buff/cache
MiB Mem :  16009.2 total,  11537.3 free,   1223.2 used,   3248.7 buff/cache
MiB Mem :  16009.2 total,  11537.3 free,   1223.2 used,   3248.7 buff/cache
MiB Mem :  16009.2 total,  11537.3 free,   1223.2 used,   3248.7 buff/cache
MiB Mem :  16009.2 total,  11537.4 free,   1223.0 used,   3248.8 buff/cache
MiB Mem :  16009.2 total,  11537.4 free,   1223.0 used,   3248.8 buff/cache
MiB Mem :  16009.2 total,  11537.4 free,   1223.0 used,   3248.8 buff/cache
MiB Mem :  16009.2 total,  11537.4 free,   1223.0 used,   3248.8 buff/cache
MiB Mem :  16009.2 total,  11537.4 free,   1223.0 used,   3248.8 buff/cache
MiB Mem :  16009.2 total,  11537.4 free,   1223.0 used,   3248.8 buff/cache
MiB Mem :  16009.2 total,  11534.8 free,   1225.6 used,   3248.9 buff/cache
MiB Mem :  16009.2 total,  11534.8 free,   1225.6 used,   3248.9 buff/cache
MiB Mem :  16009.2 total,  11534.8 free,   1225.6 used,   3248.9 buff/cache
MiB Mem :  16009.2 total,  11534.8 free,   1225.6 used,   3248.9 buff/cache
