MiB Mem :  16009.2 total,  11116.6 free,   1633.2 used,   3259.4 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1633.2 used,   3259.4 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1633.2 used,   3259.4 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1633.2 used,   3259.4 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1633.2 used,   3259.4 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1633.2 used,   3259.4 buff/cache
MiB Mem :  16009.2 total,  11117.2 free,   1632.4 used,   3259.7 buff/cache
MiB Mem :  16009.2 total,  11117.2 free,   1632.4 used,   3259.7 buff/cache
MiB Mem :  16009.2 total,  11117.2 free,   1632.4 used,   3259.7 buff/cache
MiB Mem :  16009.2 total,  11117.2 free,   1632.4 used,   3259.7 buff/cache
MiB Mem :  16009.2 total,  11117.2 free,   1632.4 used,   3259.7 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1632.8 used,   3259.8 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1632.8 used,   3259.8 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1632.8 used,   3259.8 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1632.8 used,   3259.8 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1632.8 used,   3259.8 buff/cache
MiB Mem :  16009.2 total,  11116.6 free,   1632.8 used,   3259.8 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.5 used,   3259.9 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.5 used,   3259.9 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.5 used,   3259.9 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.5 used,   3259.9 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.5 used,   3259.9 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.5 used,   3259.9 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.3 used,   3260.1 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.3 used,   3260.1 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.3 used,   3260.1 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.3 used,   3260.1 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.3 used,   3260.1 buff/cache
MiB Mem :  16009.2 total,  11115.8 free,   1633.3 used,   3260.1 buff/cache
MiB Mem :  16009.2 total,  11111.5 free,   1637.5 used,   3260.2 buff/cache
MiB Mem :  16009.2 total,  11111.5 free,   1637.5 used,   3260.2 buff/cache
MiB Mem :  16009.2 total,  11111.5 free,   1637.5 used,   3260.2 buff/cache
MiB Mem :  16009.2 total,  11111.5 free,   1637.5 used,   3260.2 buff/cache
MiB Mem :  16009.2 total,  11111.5 free,   1637.5 used,   3260.2 buff/cache
MiB Mem :  16009.2 total,  11111.5 free,   1637.5 used,   3260.2 buff/cache
MiB Mem :  16009.2 total,  11114.4 free,   1634.5 used,   3260.3 buff/cache
MiB Mem :  16009.2 total,  11114.4 free,   1634.5 used,   3260.3 buff/cache
MiB Mem :  16009.2 total,  11114.4 free,   1634.5 used,   3260.3 buff/cache
MiB Mem :  16009.2 total,  11114.4 free,   1634.5 used,   3260.3 buff/cache
MiB Mem :  16009.2 total,  11114.4 free,   1634.5 used,   3260.3 buff/cache
MiB Mem :  16009.2 total,  11114.4 free,   1634.5 used,   3260.3 buff/cache
MiB Mem :  16009.2 total,  11112.8 free,   1635.9 used,   3260.5 buff/cache
MiB Mem :  16009.2 total,  11112.8 free,   1635.9 used,   3260.5 buff/cache
MiB Mem :  16009.2 total,  11112.8 free,   1635.9 used,   3260.5 buff/cache
MiB Mem :  16009.2 total,  11112.8 free,   1635.9 used,   3260.5 buff/cache
MiB Mem :  16009.2 total,  11112.8 free,   1635.9 used,   3260.5 buff/cache
MiB Mem :  16009.2 total,  11112.8 free,   1635.9 used,   3260.5 buff/cache
MiB Mem :  16009.2 total,  11113.0 free,   1635.6 used,   3260.6 buff/cache
MiB Mem :  16009.2 total,  11113.0 free,   1635.6 used,   3260.6 buff/cache
MiB Mem :  16009.2 total,  11113.0 free,   1635.6 used,   3260.6 buff/cache
MiB Mem :  16009.2 total,  11113.0 free,   1635.6 used,   3260.6 buff/cache
MiB Mem :  16009.2 total,  11113.0 free,   1635.6 used,   3260.6 buff/cache
MiB Mem :  16009.2 total,  11115.2 free,   1633.2 used,   3260.8 buff/cache
MiB Mem :  16009.2 total,  11115.2 free,   1633.2 used,   3260.8 buff/cache
MiB Mem :  16009.2 total,  11115.2 free,   1633.2 used,   3260.8 buff/cache
MiB Mem :  16009.2 total,  11115.2 free,   1633.2 used,   3260.8 buff/cache
MiB Mem :  16009.2 total,  11115.2 free,   1633.2 used,   3260.8 buff/cache
MiB Mem :  16009.2 total,  11115.2 free,   1633.2 used,   3260.8 buff/cache
MiB Mem :  16009.2 total,  11114.1 free,   1634.2 used,   3260.9 buff/cache
MiB Mem :  16009.2 total,  11114.1 free,   1634.2 used,   3260.9 buff/cache
MiB Mem :  16009.2 total,  11114.1 free,   1634.2 used,   3260.9 buff/cache
MiB Mem :  16009.2 total,  11114.1 free,   1634.2 used,   3260.9 buff/cache
