top - 17:51:06 up 20:37,  0 users,  load average: 15.90, 10.30, 7.69
Tasks: 312 total,   9 running, 303 sleeping,   0 stopped,   0 zombie
%Cpu(s): 38.2 us, 34.2 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi, 27.6 si,  0.0 st
MiB Mem :  16009.2 total,  11020.7 free,   1723.0 used,   3265.6 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14152.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 395803 root      20   0  716432  16784   9924 S  27.8   0.1   0:22.53 fortio
 396536 root      20   0  716176  17468  10052 R  27.8   0.1   0:13.19 fortio
 399968 root      20   0  716432  16928   9860 S  27.8   0.1   0:03.85 fortio
 393953 root      20   0  716432  17296   9988 S  22.2   0.1   0:32.90 fortio
 395766 root      20   0  716176  16928   9860 S  22.2   0.1   0:19.73 fortio
 397425 root      20   0  716432  17372  10052 S  22.2   0.1   0:14.97 fortio
 399928 root      20   0  716432  16340   9604 R  22.2   0.1   0:05.36 fortio
 393900 root      20   0  716176  17980  10052 S  16.7   0.1   0:31.55 fortio
 395645 root      20   0  716432  16768  10116 S  16.7   0.1   0:20.89 fortio
 397461 root      20   0  716176  16820   9988 S  16.7   0.1   0:16.24 fortio
 398347 root      20   0  716176  17160   9860 S  16.7   0.1   0:05.43 fortio
 400277 root      20   0  716432  16556   9860 R  16.7   0.1   0:00.65 fortio
 403769 root      20   0  716432  16656   9796 R  16.7   0.1   0:00.67 fortio
 393077 root      20   0  716432  17276  10052 S  11.1   0.1   1:03.34 fortio
 394814 root      20   0  716432  17164   9988 R  11.1   0.1   0:32.05 fortio
 394872 root      20   0  716432  16796   9988 S  11.1   0.1   0:31.29 fortio
 396718 root      20   0  716432  17328   9988 S  11.1   0.1   0:21.54 fortio
 399714 root      20   0  716176  16616   9860 S  11.1   0.1   0:00.59 fortio
 400012 root      20   0  716176  16900   9924 R  11.1   0.1   0:04.39 fortio
 400312 root      20   0  716176  16664   9924 R  11.1   0.1   0:05.13 fortio
 377862 root      20   0  759332  51820  38896 S   5.6   0.3   0:02.09 cilium-+
 392959 root      20   0  716688  16948   9920 S   5.6   0.1   0:59.82 fortio
 392994 root      20   0  716432  17444  10052 S   5.6   0.1   1:14.15 fortio
 398451 root      20   0  716432  17112  10052 S   5.6   0.1   0:14.22 fortio
 403731 root      20   0  716176  16804   9860 R   5.6   0.1   0:00.64 fortio
 403919 afarwick  20   0    5432   2628   2128 R   5.6   0.0   0:00.01 top
      1 root      20   0  165108  12176   6476 S   0.0   0.1   0:13.11 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:06.95 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:26.23 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.25 migrati+
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.64 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:07.05 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root      rt   0       0      0      0 S   0.0   0.0   0:00.63 migrati+
     23 root      20   0       0      0      0 S   0.0   0.0   0:07.09 ksoftir+
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.64 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:06.87 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungta+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     39 root      20   0       0      0      0 S   0.0   0.0   0:02.45 kcompac+
     40 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
     68 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     69 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfsalloc
     70 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs_mru+
     71 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
     73 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
     74 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
     75 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
     78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.27 kworker+
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dm_bufi+
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.15 kworker+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kverityd
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.15 kworker+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    159 root      20   0  187060 119136 117796 S   0.0   0.7   0:13.16 systemd+
