MiB Mem :  16009.2 total,  11985.8 free,    862.9 used,   3160.6 buff/cache
MiB Mem :  16009.2 total,  11985.8 free,    862.9 used,   3160.6 buff/cache
MiB Mem :  16009.2 total,  11985.8 free,    862.9 used,   3160.6 buff/cache
MiB Mem :  16009.2 total,  11985.8 free,    862.9 used,   3160.6 buff/cache
MiB Mem :  16009.2 total,  11985.8 free,    862.9 used,   3160.6 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    863.3 used,   3160.7 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    863.3 used,   3160.7 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    863.3 used,   3160.7 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    863.3 used,   3160.7 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    863.3 used,   3160.7 buff/cache
MiB Mem :  16009.2 total,  11985.2 free,    863.3 used,   3160.7 buff/cache
MiB Mem :  16009.2 total,  11985.4 free,    863.0 used,   3160.8 buff/cache
MiB Mem :  16009.2 total,  11985.4 free,    863.0 used,   3160.8 buff/cache
MiB Mem :  16009.2 total,  11985.4 free,    863.0 used,   3160.8 buff/cache
MiB Mem :  16009.2 total,  11985.4 free,    863.0 used,   3160.8 buff/cache
MiB Mem :  16009.2 total,  11985.4 free,    863.0 used,   3160.8 buff/cache
MiB Mem :  16009.2 total,  11985.4 free,    863.0 used,   3160.8 buff/cache
MiB Mem :  16009.2 total,  11985.3 free,    863.0 used,   3160.9 buff/cache
MiB Mem :  16009.2 total,  11985.3 free,    863.0 used,   3160.9 buff/cache
MiB Mem :  16009.2 total,  11985.3 free,    863.0 used,   3160.9 buff/cache
MiB Mem :  16009.2 total,  11985.3 free,    863.0 used,   3160.9 buff/cache
MiB Mem :  16009.2 total,  11985.3 free,    863.0 used,   3160.9 buff/cache
MiB Mem :  16009.2 total,  11985.3 free,    863.0 used,   3160.9 buff/cache
MiB Mem :  16009.2 total,  11984.4 free,    863.8 used,   3161.0 buff/cache
MiB Mem :  16009.2 total,  11984.4 free,    863.8 used,   3161.0 buff/cache
MiB Mem :  16009.2 total,  11984.4 free,    863.8 used,   3161.0 buff/cache
MiB Mem :  16009.2 total,  11984.4 free,    863.8 used,   3161.0 buff/cache
MiB Mem :  16009.2 total,  11984.4 free,    863.8 used,   3161.0 buff/cache
MiB Mem :  16009.2 total,  11984.4 free,    863.8 used,   3161.0 buff/cache
MiB Mem :  16009.2 total,  11982.8 free,    865.3 used,   3161.1 buff/cache
MiB Mem :  16009.2 total,  11982.8 free,    865.3 used,   3161.1 buff/cache
MiB Mem :  16009.2 total,  11982.8 free,    865.3 used,   3161.1 buff/cache
MiB Mem :  16009.2 total,  11982.8 free,    865.3 used,   3161.1 buff/cache
MiB Mem :  16009.2 total,  11982.8 free,    865.3 used,   3161.1 buff/cache
MiB Mem :  16009.2 total,  11982.8 free,    865.3 used,   3161.1 buff/cache
MiB Mem :  16009.2 total,  11982.4 free,    865.6 used,   3161.2 buff/cache
MiB Mem :  16009.2 total,  11982.4 free,    865.6 used,   3161.2 buff/cache
MiB Mem :  16009.2 total,  11982.4 free,    865.6 used,   3161.2 buff/cache
MiB Mem :  16009.2 total,  11982.4 free,    865.6 used,   3161.2 buff/cache
MiB Mem :  16009.2 total,  11982.4 free,    865.6 used,   3161.2 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.4 used,   3161.3 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.4 used,   3161.3 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.4 used,   3161.3 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.4 used,   3161.3 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.4 used,   3161.3 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.4 used,   3161.3 buff/cache
MiB Mem :  16009.2 total,  11980.7 free,    867.1 used,   3161.4 buff/cache
MiB Mem :  16009.2 total,  11980.7 free,    867.1 used,   3161.4 buff/cache
MiB Mem :  16009.2 total,  11980.7 free,    867.1 used,   3161.4 buff/cache
MiB Mem :  16009.2 total,  11980.7 free,    867.1 used,   3161.4 buff/cache
MiB Mem :  16009.2 total,  11980.7 free,    867.1 used,   3161.4 buff/cache
MiB Mem :  16009.2 total,  11980.7 free,    867.1 used,   3161.4 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.1 used,   3161.5 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.1 used,   3161.5 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.1 used,   3161.5 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.1 used,   3161.5 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.1 used,   3161.5 buff/cache
MiB Mem :  16009.2 total,  11981.6 free,    866.1 used,   3161.5 buff/cache
MiB Mem :  16009.2 total,  11981.3 free,    866.3 used,   3161.6 buff/cache
MiB Mem :  16009.2 total,  11981.3 free,    866.3 used,   3161.6 buff/cache
MiB Mem :  16009.2 total,  11981.3 free,    866.3 used,   3161.6 buff/cache
MiB Mem :  16009.2 total,  11981.3 free,    866.3 used,   3161.6 buff/cache
MiB Mem :  16009.2 total,  11981.3 free,    866.3 used,   3161.6 buff/cache
MiB Mem :  16009.2 total,  11981.3 free,    866.3 used,   3161.6 buff/cache
