MiB Mem :  16009.2 total,  11780.7 free,    994.7 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.7 free,    994.7 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.7 free,    994.7 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.7 free,    994.7 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.7 free,    994.7 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.4 free,    995.0 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.4 free,    995.0 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.4 free,    995.0 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.4 free,    995.0 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.4 free,    995.0 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11780.4 free,    995.0 used,   3233.8 buff/cache
MiB Mem :  16009.2 total,  11773.6 free,   1001.7 used,   3233.9 buff/cache
MiB Mem :  16009.2 total,  11773.6 free,   1001.7 used,   3233.9 buff/cache
MiB Mem :  16009.2 total,  11773.6 free,   1001.7 used,   3233.9 buff/cache
MiB Mem :  16009.2 total,  11773.6 free,   1001.7 used,   3233.9 buff/cache
MiB Mem :  16009.2 total,  11773.6 free,   1001.7 used,   3233.9 buff/cache
MiB Mem :  16009.2 total,  11780.2 free,    995.0 used,   3234.0 buff/cache
MiB Mem :  16009.2 total,  11780.2 free,    995.0 used,   3234.0 buff/cache
MiB Mem :  16009.2 total,  11780.2 free,    995.0 used,   3234.0 buff/cache
MiB Mem :  16009.2 total,  11780.2 free,    995.0 used,   3234.0 buff/cache
MiB Mem :  16009.2 total,  11780.2 free,    995.0 used,   3234.0 buff/cache
MiB Mem :  16009.2 total,  11780.2 free,    995.0 used,   3234.0 buff/cache
MiB Mem :  16009.2 total,  11780.9 free,    994.2 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11780.9 free,    994.2 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11780.9 free,    994.2 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11780.9 free,    994.2 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11780.9 free,    994.2 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11780.9 free,    994.2 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11779.2 free,    995.8 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11779.2 free,    995.8 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11779.2 free,    995.8 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11779.2 free,    995.8 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11779.2 free,    995.8 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11779.2 free,    995.8 used,   3234.1 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.7 used,   3234.2 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.7 used,   3234.2 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.7 used,   3234.2 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.7 used,   3234.2 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.7 used,   3234.2 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.7 used,   3234.2 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.6 used,   3234.3 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.6 used,   3234.3 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.6 used,   3234.3 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.6 used,   3234.3 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.6 used,   3234.3 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.6 used,   3234.3 buff/cache
MiB Mem :  16009.2 total,  11779.0 free,    995.9 used,   3234.4 buff/cache
MiB Mem :  16009.2 total,  11779.0 free,    995.9 used,   3234.4 buff/cache
MiB Mem :  16009.2 total,  11779.0 free,    995.9 used,   3234.4 buff/cache
MiB Mem :  16009.2 total,  11779.0 free,    995.9 used,   3234.4 buff/cache
MiB Mem :  16009.2 total,  11779.0 free,    995.9 used,   3234.4 buff/cache
MiB Mem :  16009.2 total,  11779.0 free,    995.9 used,   3234.4 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.5 used,   3234.5 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.5 used,   3234.5 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.5 used,   3234.5 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.5 used,   3234.5 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.5 used,   3234.5 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.5 used,   3234.5 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.4 used,   3234.6 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.4 used,   3234.6 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.4 used,   3234.6 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.4 used,   3234.6 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.4 used,   3234.6 buff/cache
MiB Mem :  16009.2 total,  11780.3 free,    994.4 used,   3234.6 buff/cache
