MiB Mem :  16009.2 total,  11780.0 free,    994.6 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11780.0 free,    994.6 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11780.0 free,    994.6 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11780.0 free,    994.6 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11780.0 free,    994.6 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11778.0 free,    996.5 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11778.0 free,    996.5 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11778.0 free,    996.5 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11778.0 free,    996.5 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11778.0 free,    996.5 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11778.0 free,    996.5 used,   3234.7 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    996.0 used,   3234.8 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    996.0 used,   3234.8 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    996.0 used,   3234.8 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    996.0 used,   3234.8 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    996.0 used,   3234.8 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    996.0 used,   3234.8 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.1 used,   3234.9 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.1 used,   3234.9 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.1 used,   3234.9 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.1 used,   3234.9 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.1 used,   3234.9 buff/cache
MiB Mem :  16009.2 total,  11779.3 free,    995.1 used,   3234.9 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.3 used,   3235.0 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.3 used,   3235.0 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.3 used,   3235.0 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.3 used,   3235.0 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.3 used,   3235.0 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.3 used,   3235.0 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    996.7 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    996.7 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    996.7 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    996.7 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    996.7 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    996.7 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.2 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.2 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.2 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.2 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.2 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    995.2 used,   3235.1 buff/cache
MiB Mem :  16009.2 total,  11778.1 free,    995.9 used,   3235.2 buff/cache
MiB Mem :  16009.2 total,  11778.1 free,    995.9 used,   3235.2 buff/cache
MiB Mem :  16009.2 total,  11778.1 free,    995.9 used,   3235.2 buff/cache
MiB Mem :  16009.2 total,  11778.1 free,    995.9 used,   3235.2 buff/cache
MiB Mem :  16009.2 total,  11778.1 free,    995.9 used,   3235.2 buff/cache
MiB Mem :  16009.2 total,  11778.1 free,    995.9 used,   3235.2 buff/cache
MiB Mem :  16009.2 total,  11778.8 free,    995.2 used,   3235.3 buff/cache
MiB Mem :  16009.2 total,  11778.8 free,    995.2 used,   3235.3 buff/cache
MiB Mem :  16009.2 total,  11778.8 free,    995.2 used,   3235.3 buff/cache
MiB Mem :  16009.2 total,  11778.8 free,    995.2 used,   3235.3 buff/cache
MiB Mem :  16009.2 total,  11778.8 free,    995.2 used,   3235.3 buff/cache
MiB Mem :  16009.2 total,  11778.8 free,    995.2 used,   3235.3 buff/cache
MiB Mem :  16009.2 total,  11779.8 free,    994.1 used,   3235.4 buff/cache
MiB Mem :  16009.2 total,  11779.8 free,    994.1 used,   3235.4 buff/cache
MiB Mem :  16009.2 total,  11779.8 free,    994.1 used,   3235.4 buff/cache
MiB Mem :  16009.2 total,  11779.8 free,    994.1 used,   3235.4 buff/cache
MiB Mem :  16009.2 total,  11779.8 free,    994.1 used,   3235.4 buff/cache
MiB Mem :  16009.2 total,  11779.8 free,    994.1 used,   3235.4 buff/cache
MiB Mem :  16009.2 total,  11781.1 free,    992.7 used,   3235.5 buff/cache
MiB Mem :  16009.2 total,  11781.1 free,    992.7 used,   3235.5 buff/cache
MiB Mem :  16009.2 total,  11781.1 free,    992.7 used,   3235.5 buff/cache
MiB Mem :  16009.2 total,  11781.1 free,    992.7 used,   3235.5 buff/cache
MiB Mem :  16009.2 total,  11781.1 free,    992.7 used,   3235.5 buff/cache
