top - 18:07:27 up 20:53,  0 users,  load average: 0.82, 1.69, 4.74
Tasks: 168 total,   3 running, 165 sleeping,   0 stopped,   0 zombie
%Cpu(s): 42.6 us,  9.8 sy,  0.0 ni, 37.7 id,  0.0 wa,  0.0 hi,  9.8 si,  0.0 st
MiB Mem :  16009.2 total,  11779.9 free,    997.3 used,   3232.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14808.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 417906 1337      20   0  172504  53592  33828 S 162.5   0.3   1:00.39 envoy
 417849 root      20   0  716432  17120   9988 S  50.0   0.1   0:20.11 fortio
 331765 root      20   0  129756  34012  16716 R   6.2   0.2   5:10.22 pod_nan+
      1 root      20   0  165544  12808   6476 S   0.0   0.1   0:15.18 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:08.08 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:27.12 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.26 migrati+
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.65 migrati+
     18 root      20   0       0      0      0 R   0.0   0.0   0:07.92 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root      rt   0       0      0      0 S   0.0   0.0   0:00.63 migrati+
     23 root      20   0       0      0      0 S   0.0   0.0   0:07.95 ksoftir+
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.65 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:07.86 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungta+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
