MiB Mem :  16009.2 total,  11642.2 free,   1000.4 used,   3366.6 buff/cache
MiB Mem :  16009.2 total,  11642.2 free,   1000.4 used,   3366.6 buff/cache
MiB Mem :  16009.2 total,  11642.2 free,   1000.4 used,   3366.6 buff/cache
MiB Mem :  16009.2 total,  11642.2 free,   1000.4 used,   3366.6 buff/cache
MiB Mem :  16009.2 total,  11642.2 free,   1000.4 used,   3366.6 buff/cache
MiB Mem :  16009.2 total,  11642.2 free,   1000.4 used,   3366.6 buff/cache
MiB Mem :  16009.2 total,  11641.1 free,   1001.4 used,   3366.7 buff/cache
MiB Mem :  16009.2 total,  11641.1 free,   1001.4 used,   3366.7 buff/cache
MiB Mem :  16009.2 total,  11641.1 free,   1001.4 used,   3366.7 buff/cache
MiB Mem :  16009.2 total,  11641.1 free,   1001.4 used,   3366.7 buff/cache
MiB Mem :  16009.2 total,  11641.1 free,   1001.4 used,   3366.7 buff/cache
MiB Mem :  16009.2 total,  11641.0 free,   1001.4 used,   3366.8 buff/cache
MiB Mem :  16009.2 total,  11641.0 free,   1001.4 used,   3366.8 buff/cache
MiB Mem :  16009.2 total,  11641.0 free,   1001.4 used,   3366.8 buff/cache
MiB Mem :  16009.2 total,  11641.0 free,   1001.4 used,   3366.8 buff/cache
MiB Mem :  16009.2 total,  11641.0 free,   1001.4 used,   3366.8 buff/cache
MiB Mem :  16009.2 total,  11641.0 free,   1001.4 used,   3366.8 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.4 used,   3366.9 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.4 used,   3366.9 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.4 used,   3366.9 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.4 used,   3366.9 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.4 used,   3366.9 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.4 used,   3366.9 buff/cache
MiB Mem :  16009.2 total,  11634.0 free,   1008.2 used,   3367.0 buff/cache
MiB Mem :  16009.2 total,  11634.0 free,   1008.2 used,   3367.0 buff/cache
MiB Mem :  16009.2 total,  11634.0 free,   1008.2 used,   3367.0 buff/cache
MiB Mem :  16009.2 total,  11634.0 free,   1008.2 used,   3367.0 buff/cache
MiB Mem :  16009.2 total,  11634.0 free,   1008.2 used,   3367.0 buff/cache
MiB Mem :  16009.2 total,  11634.0 free,   1008.2 used,   3367.0 buff/cache
MiB Mem :  16009.2 total,  11639.8 free,   1002.4 used,   3367.1 buff/cache
MiB Mem :  16009.2 total,  11639.8 free,   1002.4 used,   3367.1 buff/cache
MiB Mem :  16009.2 total,  11639.8 free,   1002.4 used,   3367.1 buff/cache
MiB Mem :  16009.2 total,  11639.8 free,   1002.4 used,   3367.1 buff/cache
MiB Mem :  16009.2 total,  11639.8 free,   1002.4 used,   3367.1 buff/cache
MiB Mem :  16009.2 total,  11639.8 free,   1002.4 used,   3367.1 buff/cache
MiB Mem :  16009.2 total,  11637.3 free,   1004.7 used,   3367.2 buff/cache
MiB Mem :  16009.2 total,  11637.3 free,   1004.7 used,   3367.2 buff/cache
MiB Mem :  16009.2 total,  11637.3 free,   1004.7 used,   3367.2 buff/cache
MiB Mem :  16009.2 total,  11637.3 free,   1004.7 used,   3367.2 buff/cache
MiB Mem :  16009.2 total,  11637.3 free,   1004.7 used,   3367.2 buff/cache
MiB Mem :  16009.2 total,  11637.3 free,   1004.7 used,   3367.2 buff/cache
MiB Mem :  16009.2 total,  11636.7 free,   1005.2 used,   3367.3 buff/cache
MiB Mem :  16009.2 total,  11636.7 free,   1005.2 used,   3367.3 buff/cache
