MiB Mem :  16009.2 total,  11647.0 free,    996.7 used,   3365.5 buff/cache
MiB Mem :  16009.2 total,  11647.0 free,    996.7 used,   3365.5 buff/cache
MiB Mem :  16009.2 total,  11647.0 free,    996.7 used,   3365.5 buff/cache
MiB Mem :  16009.2 total,  11647.0 free,    996.7 used,   3365.5 buff/cache
MiB Mem :  16009.2 total,  11647.0 free,    996.7 used,   3365.5 buff/cache
MiB Mem :  16009.2 total,  11645.1 free,    998.6 used,   3365.6 buff/cache
MiB Mem :  16009.2 total,  11645.1 free,    998.6 used,   3365.6 buff/cache
MiB Mem :  16009.2 total,  11645.1 free,    998.6 used,   3365.6 buff/cache
MiB Mem :  16009.2 total,  11645.1 free,    998.6 used,   3365.6 buff/cache
MiB Mem :  16009.2 total,  11645.1 free,    998.6 used,   3365.6 buff/cache
MiB Mem :  16009.2 total,  11645.1 free,    998.6 used,   3365.6 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.6 used,   3365.7 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.6 used,   3365.7 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.6 used,   3365.7 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.6 used,   3365.7 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.6 used,   3365.7 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.6 used,   3365.7 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.5 used,   3365.8 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.5 used,   3365.8 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.5 used,   3365.8 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.5 used,   3365.8 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.5 used,   3365.8 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.5 used,   3365.8 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.4 used,   3365.9 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.4 used,   3365.9 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.4 used,   3365.9 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.4 used,   3365.9 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.4 used,   3365.9 buff/cache
MiB Mem :  16009.2 total,  11641.9 free,   1001.4 used,   3365.9 buff/cache
MiB Mem :  16009.2 total,  11640.3 free,   1002.9 used,   3366.0 buff/cache
MiB Mem :  16009.2 total,  11640.3 free,   1002.9 used,   3366.0 buff/cache
MiB Mem :  16009.2 total,  11640.3 free,   1002.9 used,   3366.0 buff/cache
MiB Mem :  16009.2 total,  11640.3 free,   1002.9 used,   3366.0 buff/cache
MiB Mem :  16009.2 total,  11640.3 free,   1002.9 used,   3366.0 buff/cache
MiB Mem :  16009.2 total,  11640.3 free,   1002.9 used,   3366.0 buff/cache
MiB Mem :  16009.2 total,  11641.7 free,   1001.4 used,   3366.1 buff/cache
MiB Mem :  16009.2 total,  11641.7 free,   1001.4 used,   3366.1 buff/cache
MiB Mem :  16009.2 total,  11641.7 free,   1001.4 used,   3366.1 buff/cache
MiB Mem :  16009.2 total,  11641.7 free,   1001.4 used,   3366.1 buff/cache
MiB Mem :  16009.2 total,  11641.7 free,   1001.4 used,   3366.1 buff/cache
MiB Mem :  16009.2 total,  11641.7 free,   1001.4 used,   3366.1 buff/cache
MiB Mem :  16009.2 total,  11641.3 free,   1001.6 used,   3366.3 buff/cache
MiB Mem :  16009.2 total,  11641.3 free,   1001.6 used,   3366.3 buff/cache
MiB Mem :  16009.2 total,  11641.3 free,   1001.6 used,   3366.3 buff/cache
MiB Mem :  16009.2 total,  11641.3 free,   1001.6 used,   3366.3 buff/cache
MiB Mem :  16009.2 total,  11641.3 free,   1001.6 used,   3366.3 buff/cache
MiB Mem :  16009.2 total,  11641.3 free,   1001.6 used,   3366.3 buff/cache
MiB Mem :  16009.2 total,  11641.2 free,   1001.7 used,   3366.4 buff/cache
MiB Mem :  16009.2 total,  11641.2 free,   1001.7 used,   3366.4 buff/cache
MiB Mem :  16009.2 total,  11641.2 free,   1001.7 used,   3366.4 buff/cache
MiB Mem :  16009.2 total,  11641.2 free,   1001.7 used,   3366.4 buff/cache
MiB Mem :  16009.2 total,  11641.2 free,   1001.7 used,   3366.4 buff/cache
MiB Mem :  16009.2 total,  11641.2 free,   1001.7 used,   3366.4 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.8 used,   3366.5 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.8 used,   3366.5 buff/cache
MiB Mem :  16009.2 total,  11640.0 free,   1002.8 used,   3366.5 buff/cache
