MiB Mem :  16009.2 total,  12144.4 free,    866.1 used,   2998.7 buff/cache
MiB Mem :  16009.2 total,  12144.4 free,    866.1 used,   2998.7 buff/cache
MiB Mem :  16009.2 total,  12144.4 free,    866.1 used,   2998.7 buff/cache
MiB Mem :  16009.2 total,  12144.4 free,    866.1 used,   2998.7 buff/cache
MiB Mem :  16009.2 total,  12144.4 free,    866.1 used,   2998.7 buff/cache
MiB Mem :  16009.2 total,  12144.4 free,    866.1 used,   2998.7 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.4 used,   2999.0 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.4 used,   2999.0 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.4 used,   2999.0 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.4 used,   2999.0 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.4 used,   2999.0 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.4 used,   2999.0 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.3 used,   2999.1 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.3 used,   2999.1 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.3 used,   2999.1 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.3 used,   2999.1 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.3 used,   2999.1 buff/cache
MiB Mem :  16009.2 total,  12139.8 free,    870.3 used,   2999.1 buff/cache
MiB Mem :  16009.2 total,  12140.2 free,    869.8 used,   2999.2 buff/cache
MiB Mem :  16009.2 total,  12140.2 free,    869.8 used,   2999.2 buff/cache
MiB Mem :  16009.2 total,  12140.2 free,    869.8 used,   2999.2 buff/cache
MiB Mem :  16009.2 total,  12140.2 free,    869.8 used,   2999.2 buff/cache
MiB Mem :  16009.2 total,  12140.2 free,    869.8 used,   2999.2 buff/cache
MiB Mem :  16009.2 total,  12140.2 free,    869.8 used,   2999.2 buff/cache
MiB Mem :  16009.2 total,  12139.6 free,    870.3 used,   2999.3 buff/cache
MiB Mem :  16009.2 total,  12139.6 free,    870.3 used,   2999.3 buff/cache
MiB Mem :  16009.2 total,  12139.6 free,    870.3 used,   2999.3 buff/cache
MiB Mem :  16009.2 total,  12139.6 free,    870.3 used,   2999.3 buff/cache
MiB Mem :  16009.2 total,  12139.6 free,    870.3 used,   2999.3 buff/cache
MiB Mem :  16009.2 total,  12139.6 free,    870.3 used,   2999.3 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.5 used,   2999.4 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.5 used,   2999.4 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.5 used,   2999.4 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.5 used,   2999.4 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.5 used,   2999.4 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.5 used,   2999.4 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.3 used,   2999.5 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.3 used,   2999.5 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.3 used,   2999.5 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.3 used,   2999.5 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.3 used,   2999.5 buff/cache
MiB Mem :  16009.2 total,  12141.4 free,    868.3 used,   2999.5 buff/cache
MiB Mem :  16009.2 total,  12141.5 free,    868.1 used,   2999.6 buff/cache
MiB Mem :  16009.2 total,  12141.5 free,    868.1 used,   2999.6 buff/cache
MiB Mem :  16009.2 total,  12141.5 free,    868.1 used,   2999.6 buff/cache
MiB Mem :  16009.2 total,  12141.5 free,    868.1 used,   2999.6 buff/cache
MiB Mem :  16009.2 total,  12141.5 free,    868.1 used,   2999.6 buff/cache
MiB Mem :  16009.2 total,  12141.5 free,    868.1 used,   2999.6 buff/cache
MiB Mem :  16009.2 total,  12141.7 free,    867.9 used,   2999.7 buff/cache
MiB Mem :  16009.2 total,  12141.7 free,    867.9 used,   2999.7 buff/cache
MiB Mem :  16009.2 total,  12141.7 free,    867.9 used,   2999.7 buff/cache
