MiB Mem :  16009.2 total,  10947.5 free,   1634.2 used,   3427.5 buff/cache
MiB Mem :  16009.2 total,  10947.5 free,   1634.2 used,   3427.5 buff/cache
MiB Mem :  16009.2 total,  10947.5 free,   1634.2 used,   3427.5 buff/cache
MiB Mem :  16009.2 total,  10947.5 free,   1634.2 used,   3427.5 buff/cache
MiB Mem :  16009.2 total,  10947.5 free,   1634.2 used,   3427.5 buff/cache
MiB Mem :  16009.2 total,  10947.5 free,   1634.2 used,   3427.5 buff/cache
MiB Mem :  16009.2 total,  10947.7 free,   1633.9 used,   3427.7 buff/cache
MiB Mem :  16009.2 total,  10947.7 free,   1633.9 used,   3427.7 buff/cache
MiB Mem :  16009.2 total,  10947.7 free,   1633.9 used,   3427.7 buff/cache
MiB Mem :  16009.2 total,  10947.7 free,   1633.9 used,   3427.7 buff/cache
MiB Mem :  16009.2 total,  10947.7 free,   1633.9 used,   3427.7 buff/cache
MiB Mem :  16009.2 total,  10947.7 free,   1633.9 used,   3427.7 buff/cache
MiB Mem :  16009.2 total,  10945.2 free,   1636.2 used,   3427.8 buff/cache
MiB Mem :  16009.2 total,  10945.2 free,   1636.2 used,   3427.8 buff/cache
MiB Mem :  16009.2 total,  10945.2 free,   1636.2 used,   3427.8 buff/cache
MiB Mem :  16009.2 total,  10945.2 free,   1636.2 used,   3427.8 buff/cache
MiB Mem :  16009.2 total,  10945.2 free,   1636.2 used,   3427.8 buff/cache
MiB Mem :  16009.2 total,  10945.8 free,   1635.5 used,   3428.0 buff/cache
MiB Mem :  16009.2 total,  10945.8 free,   1635.5 used,   3428.0 buff/cache
MiB Mem :  16009.2 total,  10945.8 free,   1635.5 used,   3428.0 buff/cache
MiB Mem :  16009.2 total,  10945.8 free,   1635.5 used,   3428.0 buff/cache
MiB Mem :  16009.2 total,  10945.8 free,   1635.5 used,   3428.0 buff/cache
MiB Mem :  16009.2 total,  10945.8 free,   1635.5 used,   3428.0 buff/cache
MiB Mem :  16009.2 total,  10940.6 free,   1640.5 used,   3428.1 buff/cache
MiB Mem :  16009.2 total,  10940.6 free,   1640.5 used,   3428.1 buff/cache
MiB Mem :  16009.2 total,  10940.6 free,   1640.5 used,   3428.1 buff/cache
MiB Mem :  16009.2 total,  10940.6 free,   1640.5 used,   3428.1 buff/cache
MiB Mem :  16009.2 total,  10940.6 free,   1640.5 used,   3428.1 buff/cache
MiB Mem :  16009.2 total,  10940.6 free,   1640.5 used,   3428.1 buff/cache
MiB Mem :  16009.2 total,  10943.8 free,   1637.2 used,   3428.2 buff/cache
MiB Mem :  16009.2 total,  10943.8 free,   1637.2 used,   3428.2 buff/cache
MiB Mem :  16009.2 total,  10943.8 free,   1637.2 used,   3428.2 buff/cache
MiB Mem :  16009.2 total,  10943.8 free,   1637.2 used,   3428.2 buff/cache
MiB Mem :  16009.2 total,  10943.8 free,   1637.2 used,   3428.2 buff/cache
MiB Mem :  16009.2 total,  10943.8 free,   1637.2 used,   3428.2 buff/cache
MiB Mem :  16009.2 total,  10942.2 free,   1638.6 used,   3428.4 buff/cache
MiB Mem :  16009.2 total,  10942.2 free,   1638.6 used,   3428.4 buff/cache
MiB Mem :  16009.2 total,  10942.2 free,   1638.6 used,   3428.4 buff/cache
MiB Mem :  16009.2 total,  10942.2 free,   1638.6 used,   3428.4 buff/cache
MiB Mem :  16009.2 total,  10942.2 free,   1638.6 used,   3428.4 buff/cache
MiB Mem :  16009.2 total,  10942.2 free,   1638.6 used,   3428.4 buff/cache
MiB Mem :  16009.2 total,  10942.8 free,   1637.9 used,   3428.5 buff/cache
MiB Mem :  16009.2 total,  10942.8 free,   1637.9 used,   3428.5 buff/cache
MiB Mem :  16009.2 total,  10942.8 free,   1637.9 used,   3428.5 buff/cache
MiB Mem :  16009.2 total,  10942.8 free,   1637.9 used,   3428.5 buff/cache
MiB Mem :  16009.2 total,  10942.8 free,   1637.9 used,   3428.5 buff/cache
MiB Mem :  16009.2 total,  10942.8 free,   1637.9 used,   3428.5 buff/cache
MiB Mem :  16009.2 total,  10946.3 free,   1634.3 used,   3428.7 buff/cache
MiB Mem :  16009.2 total,  10946.3 free,   1634.3 used,   3428.7 buff/cache
MiB Mem :  16009.2 total,  10946.3 free,   1634.3 used,   3428.7 buff/cache
MiB Mem :  16009.2 total,  10946.3 free,   1634.3 used,   3428.7 buff/cache
MiB Mem :  16009.2 total,  10946.3 free,   1634.3 used,   3428.7 buff/cache
MiB Mem :  16009.2 total,  10946.3 free,   1634.3 used,   3428.7 buff/cache
MiB Mem :  16009.2 total,  10944.8 free,   1635.6 used,   3428.8 buff/cache
MiB Mem :  16009.2 total,  10944.8 free,   1635.6 used,   3428.8 buff/cache
MiB Mem :  16009.2 total,  10944.8 free,   1635.6 used,   3428.8 buff/cache
MiB Mem :  16009.2 total,  10944.8 free,   1635.6 used,   3428.8 buff/cache
MiB Mem :  16009.2 total,  10944.8 free,   1635.6 used,   3428.8 buff/cache
MiB Mem :  16009.2 total,  10944.8 free,   1635.6 used,   3428.8 buff/cache
MiB Mem :  16009.2 total,  10943.3 free,   1637.0 used,   3428.9 buff/cache
MiB Mem :  16009.2 total,  10943.3 free,   1637.0 used,   3428.9 buff/cache
MiB Mem :  16009.2 total,  10943.3 free,   1637.0 used,   3428.9 buff/cache
MiB Mem :  16009.2 total,  10943.3 free,   1637.0 used,   3428.9 buff/cache
MiB Mem :  16009.2 total,  10943.3 free,   1637.0 used,   3428.9 buff/cache
MiB Mem :  16009.2 total,  10943.3 free,   1637.0 used,   3428.9 buff/cache
MiB Mem :  16009.2 total,  10943.0 free,   1637.2 used,   3429.0 buff/cache
MiB Mem :  16009.2 total,  10943.0 free,   1637.2 used,   3429.0 buff/cache
