top - 13:54:49 up  1:28,  0 users,  load average: 19.83, 15.19, 7.23
Tasks: 287 total,   5 running, 282 sleeping,   0 stopped,   0 zombie
%Cpu(s): 41.2 us, 30.9 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi, 27.9 si,  0.0 st
MiB Mem :  16009.2 total,  11772.8 free,   1540.7 used,   2695.7 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14290.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  38370 root      20   0  716176  16580   9924 R  31.2   0.1   0:04.38 fortio
  39094 root      20   0  716432  16860   9860 S  31.2   0.1   0:05.15 fortio
  35669 root      20   0  716176  16660   9860 S  25.0   0.1   0:26.08 fortio
  38334 root      20   0  716176  17252  10052 S  25.0   0.1   0:12.33 fortio
  33762 root      20   0  716176  16776   9988 S  18.8   0.1   1:06.46 fortio
  35554 root      20   0  716432  16696   9924 S  18.8   0.1   0:31.41 fortio
  36390 root      20   0  716176  17752   9988 S  18.8   0.1   0:20.05 fortio
  36447 root      20   0  716176  16968   9924 S  18.8   0.1   0:10.66 fortio
  36510 root      20   0  716432  17256   9924 S  18.8   0.1   0:12.39 fortio
  36546 root      20   0  716176  17104  10052 R  18.8   0.1   0:23.81 fortio
  37421 root      20   0  716432  17344  10052 S  18.8   0.1   0:06.25 fortio
  38965 root      20   0  716176  16456   9732 S  18.8   0.1   0:04.57 fortio
  40125 root      20   0  716176  16820   9924 S  18.8   0.1   0:01.01 fortio
  33797 root      20   0  716432  17332   9924 S  12.5   0.1   0:52.54 fortio
  35635 root      20   0  716176  17012   9988 S  12.5   0.1   0:30.17 fortio
  40029 root      20   0  716176  17012   9860 R  12.5   0.1   0:00.51 fortio
  16227 root      20   0 2452948 137924  70864 S   6.2   0.8   1:48.26 the-kub+
  16752 root      20   0  852476 134748  54420 S   6.2   0.8   0:32.90 cilium-+
  17939 chronos   20   0  715856  17696  10188 S   6.2   0.1   0:01.75 proxy-a+
  18178 nobody    20   0  745656  44968  31044 S   6.2   0.3   0:07.71 metrics+
  33183 root      20   0  716432  17020   9988 S   6.2   0.1   2:59.27 fortio
  33922 root      20   0  716432  16712   9988 R   6.2   0.1   0:53.76 fortio
  37342 root      20   0  716432  17128  10116 S   6.2   0.1   0:16.86 fortio
  38146 root      20   0  716432  16920   9924 S   6.2   0.1   0:10.48 fortio
      1 root      20   0  164528  11648   6472 S   0.0   0.1   0:05.98 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:02.90 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:02.10 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migrati+
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.42 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:02.49 ksoftir+
     19 root      20   0       0      0      0 I   0.0   0.0   0:00.33 kworker+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root      rt   0       0      0      0 S   0.0   0.0   0:00.42 migrati+
     23 root      20   0       0      0      0 S   0.0   0.0   0:03.24 ksoftir+
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.42 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:02.52 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.16 kcompac+
     40 root      39  19       0      0      0 S   0.0   0.0   0:00.02 khugepa+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
