MiB Mem :  16009.2 total,  11124.6 free,   1474.2 used,   3410.4 buff/cache
MiB Mem :  16009.2 total,  11124.6 free,   1474.2 used,   3410.4 buff/cache
MiB Mem :  16009.2 total,  11124.6 free,   1474.2 used,   3410.4 buff/cache
MiB Mem :  16009.2 total,  11124.6 free,   1474.2 used,   3410.4 buff/cache
MiB Mem :  16009.2 total,  11124.6 free,   1474.2 used,   3410.4 buff/cache
MiB Mem :  16009.2 total,  11124.6 free,   1474.2 used,   3410.4 buff/cache
MiB Mem :  16009.2 total,  11124.7 free,   1474.0 used,   3410.6 buff/cache
MiB Mem :  16009.2 total,  11124.7 free,   1474.0 used,   3410.6 buff/cache
MiB Mem :  16009.2 total,  11124.7 free,   1474.0 used,   3410.6 buff/cache
MiB Mem :  16009.2 total,  11124.7 free,   1474.0 used,   3410.6 buff/cache
MiB Mem :  16009.2 total,  11124.7 free,   1474.0 used,   3410.6 buff/cache
MiB Mem :  16009.2 total,  11124.7 free,   1474.0 used,   3410.6 buff/cache
MiB Mem :  16009.2 total,  11124.0 free,   1474.6 used,   3410.7 buff/cache
MiB Mem :  16009.2 total,  11124.0 free,   1474.6 used,   3410.7 buff/cache
MiB Mem :  16009.2 total,  11124.0 free,   1474.6 used,   3410.7 buff/cache
MiB Mem :  16009.2 total,  11124.0 free,   1474.6 used,   3410.7 buff/cache
MiB Mem :  16009.2 total,  11124.0 free,   1474.6 used,   3410.7 buff/cache
MiB Mem :  16009.2 total,  11124.0 free,   1474.6 used,   3410.7 buff/cache
MiB Mem :  16009.2 total,  11124.8 free,   1473.6 used,   3410.8 buff/cache
MiB Mem :  16009.2 total,  11124.8 free,   1473.6 used,   3410.8 buff/cache
MiB Mem :  16009.2 total,  11124.8 free,   1473.6 used,   3410.8 buff/cache
MiB Mem :  16009.2 total,  11124.8 free,   1473.6 used,   3410.8 buff/cache
MiB Mem :  16009.2 total,  11124.8 free,   1473.6 used,   3410.8 buff/cache
MiB Mem :  16009.2 total,  11124.8 free,   1473.6 used,   3410.8 buff/cache
MiB Mem :  16009.2 total,  11123.4 free,   1474.9 used,   3410.9 buff/cache
MiB Mem :  16009.2 total,  11123.4 free,   1474.9 used,   3410.9 buff/cache
MiB Mem :  16009.2 total,  11123.4 free,   1474.9 used,   3410.9 buff/cache
MiB Mem :  16009.2 total,  11123.4 free,   1474.9 used,   3410.9 buff/cache
MiB Mem :  16009.2 total,  11123.4 free,   1474.9 used,   3410.9 buff/cache
MiB Mem :  16009.2 total,  11123.4 free,   1474.9 used,   3410.9 buff/cache
MiB Mem :  16009.2 total,  11122.2 free,   1476.0 used,   3411.0 buff/cache
MiB Mem :  16009.2 total,  11122.2 free,   1476.0 used,   3411.0 buff/cache
MiB Mem :  16009.2 total,  11122.2 free,   1476.0 used,   3411.0 buff/cache
MiB Mem :  16009.2 total,  11122.2 free,   1476.0 used,   3411.0 buff/cache
MiB Mem :  16009.2 total,  11122.2 free,   1476.0 used,   3411.0 buff/cache
MiB Mem :  16009.2 total,  11121.4 free,   1476.7 used,   3411.2 buff/cache
MiB Mem :  16009.2 total,  11121.4 free,   1476.7 used,   3411.2 buff/cache
MiB Mem :  16009.2 total,  11121.4 free,   1476.7 used,   3411.2 buff/cache
MiB Mem :  16009.2 total,  11121.4 free,   1476.7 used,   3411.2 buff/cache
MiB Mem :  16009.2 total,  11121.4 free,   1476.7 used,   3411.2 buff/cache
MiB Mem :  16009.2 total,  11121.4 free,   1476.7 used,   3411.2 buff/cache
MiB Mem :  16009.2 total,  11123.0 free,   1474.9 used,   3411.3 buff/cache
MiB Mem :  16009.2 total,  11123.0 free,   1474.9 used,   3411.3 buff/cache
MiB Mem :  16009.2 total,  11123.0 free,   1474.9 used,   3411.3 buff/cache
MiB Mem :  16009.2 total,  11123.0 free,   1474.9 used,   3411.3 buff/cache
MiB Mem :  16009.2 total,  11123.0 free,   1474.9 used,   3411.3 buff/cache
MiB Mem :  16009.2 total,  11123.0 free,   1474.9 used,   3411.3 buff/cache
MiB Mem :  16009.2 total,  11123.3 free,   1474.5 used,   3411.4 buff/cache
MiB Mem :  16009.2 total,  11123.3 free,   1474.5 used,   3411.4 buff/cache
MiB Mem :  16009.2 total,  11123.3 free,   1474.5 used,   3411.4 buff/cache
MiB Mem :  16009.2 total,  11123.3 free,   1474.5 used,   3411.4 buff/cache
MiB Mem :  16009.2 total,  11123.3 free,   1474.5 used,   3411.4 buff/cache
MiB Mem :  16009.2 total,  11123.3 free,   1474.5 used,   3411.4 buff/cache
MiB Mem :  16009.2 total,  11120.4 free,   1477.3 used,   3411.5 buff/cache
MiB Mem :  16009.2 total,  11120.4 free,   1477.3 used,   3411.5 buff/cache
MiB Mem :  16009.2 total,  11120.4 free,   1477.3 used,   3411.5 buff/cache
MiB Mem :  16009.2 total,  11120.4 free,   1477.3 used,   3411.5 buff/cache
MiB Mem :  16009.2 total,  11120.4 free,   1477.3 used,   3411.5 buff/cache
MiB Mem :  16009.2 total,  11120.4 free,   1477.3 used,   3411.5 buff/cache
MiB Mem :  16009.2 total,  11119.4 free,   1478.2 used,   3411.6 buff/cache
MiB Mem :  16009.2 total,  11119.4 free,   1478.2 used,   3411.6 buff/cache
MiB Mem :  16009.2 total,  11119.4 free,   1478.2 used,   3411.6 buff/cache
MiB Mem :  16009.2 total,  11119.4 free,   1478.2 used,   3411.6 buff/cache
MiB Mem :  16009.2 total,  11119.4 free,   1478.2 used,   3411.6 buff/cache
MiB Mem :  16009.2 total,  11119.4 free,   1478.2 used,   3411.6 buff/cache
MiB Mem :  16009.2 total,  11120.6 free,   1476.8 used,   3411.8 buff/cache
MiB Mem :  16009.2 total,  11120.6 free,   1476.8 used,   3411.8 buff/cache
