MiB Mem :  16009.2 total,  10110.1 free,   2537.0 used,   3362.0 buff/cache
MiB Mem :  16009.2 total,  10110.1 free,   2537.0 used,   3362.0 buff/cache
MiB Mem :  16009.2 total,  10110.1 free,   2537.0 used,   3362.0 buff/cache
MiB Mem :  16009.2 total,  10110.1 free,   2537.0 used,   3362.0 buff/cache
MiB Mem :  16009.2 total,  10110.1 free,   2537.0 used,   3362.0 buff/cache
MiB Mem :  16009.2 total,  10117.2 free,   2529.9 used,   3362.1 buff/cache
MiB Mem :  16009.2 total,  10117.2 free,   2529.9 used,   3362.1 buff/cache
MiB Mem :  16009.2 total,  10117.2 free,   2529.9 used,   3362.1 buff/cache
MiB Mem :  16009.2 total,  10117.2 free,   2529.9 used,   3362.1 buff/cache
MiB Mem :  16009.2 total,  10117.2 free,   2529.9 used,   3362.1 buff/cache
MiB Mem :  16009.2 total,  10117.2 free,   2529.9 used,   3362.1 buff/cache
MiB Mem :  16009.2 total,  10116.0 free,   2530.9 used,   3362.3 buff/cache
MiB Mem :  16009.2 total,  10116.0 free,   2530.9 used,   3362.3 buff/cache
MiB Mem :  16009.2 total,  10116.0 free,   2530.9 used,   3362.3 buff/cache
MiB Mem :  16009.2 total,  10116.0 free,   2530.9 used,   3362.3 buff/cache
MiB Mem :  16009.2 total,  10116.0 free,   2530.9 used,   3362.3 buff/cache
MiB Mem :  16009.2 total,  10116.0 free,   2530.9 used,   3362.3 buff/cache
MiB Mem :  16009.2 total,  10113.9 free,   2532.9 used,   3362.5 buff/cache
MiB Mem :  16009.2 total,  10113.9 free,   2532.9 used,   3362.5 buff/cache
MiB Mem :  16009.2 total,  10113.9 free,   2532.9 used,   3362.5 buff/cache
MiB Mem :  16009.2 total,  10113.9 free,   2532.9 used,   3362.5 buff/cache
MiB Mem :  16009.2 total,  10113.9 free,   2532.9 used,   3362.5 buff/cache
MiB Mem :  16009.2 total,  10114.2 free,   2532.4 used,   3362.6 buff/cache
MiB Mem :  16009.2 total,  10114.2 free,   2532.4 used,   3362.6 buff/cache
MiB Mem :  16009.2 total,  10114.2 free,   2532.4 used,   3362.6 buff/cache
MiB Mem :  16009.2 total,  10114.2 free,   2532.4 used,   3362.6 buff/cache
MiB Mem :  16009.2 total,  10114.2 free,   2532.4 used,   3362.6 buff/cache
MiB Mem :  16009.2 total,  10114.2 free,   2532.4 used,   3362.6 buff/cache
MiB Mem :  16009.2 total,  10113.4 free,   2533.0 used,   3362.8 buff/cache
MiB Mem :  16009.2 total,  10113.4 free,   2533.0 used,   3362.8 buff/cache
MiB Mem :  16009.2 total,  10113.4 free,   2533.0 used,   3362.8 buff/cache
MiB Mem :  16009.2 total,  10113.4 free,   2533.0 used,   3362.8 buff/cache
MiB Mem :  16009.2 total,  10113.4 free,   2533.0 used,   3362.8 buff/cache
MiB Mem :  16009.2 total,  10113.4 free,   2533.0 used,   3362.8 buff/cache
MiB Mem :  16009.2 total,  10112.6 free,   2533.7 used,   3362.9 buff/cache
MiB Mem :  16009.2 total,  10112.6 free,   2533.7 used,   3362.9 buff/cache
