top - 15:55:20 up 42 min,  0 users,  load average: 0.47, 0.82, 0.53
Tasks: 161 total,   2 running, 159 sleeping,   0 stopped,   0 zombie
%Cpu(s): 43.5 us,  6.5 sy,  0.0 ni, 37.1 id,  0.0 wa,  0.0 hi, 12.9 si,  0.0 st
MiB Mem :  16009.2 total,  12213.2 free,    825.6 used,   2970.4 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14929.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  18382 1337      20   0  173532  53896  33872 S 180.0   0.3   5:05.68 envoy
  18324 root      20   0  716176  17256   9924 S  60.0   0.1   1:38.61 fortio
   4388 root      20   0  293024  30624  22188 S   6.7   0.2   0:03.69 fluent-+
  17429 root      20   0  129692  32252  16232 S   6.7   0.2   0:19.77 pod_nan+
      1 root      20   0  162664  10000   6576 S   0.0   0.1   0:03.85 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.50 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:01.31 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migrati+
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.41 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.38 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
