MiB Mem :  16009.2 total,  12572.6 free,    821.2 used,   2615.4 buff/cache
MiB Mem :  16009.2 total,  12572.6 free,    821.2 used,   2615.4 buff/cache
MiB Mem :  16009.2 total,  12572.6 free,    821.2 used,   2615.4 buff/cache
MiB Mem :  16009.2 total,  12572.6 free,    821.2 used,   2615.4 buff/cache
MiB Mem :  16009.2 total,  12572.6 free,    821.2 used,   2615.4 buff/cache
MiB Mem :  16009.2 total,  12572.6 free,    821.2 used,   2615.4 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.7 used,   2615.5 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.7 used,   2615.5 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.7 used,   2615.5 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.7 used,   2615.5 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.7 used,   2615.5 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.7 used,   2615.5 buff/cache
MiB Mem :  16009.2 total,  12571.8 free,    821.8 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12571.8 free,    821.8 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12571.8 free,    821.8 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12571.8 free,    821.8 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12571.8 free,    821.8 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12571.8 free,    821.8 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.6 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.6 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.6 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.6 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.6 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12572.0 free,    821.6 used,   2615.6 buff/cache
MiB Mem :  16009.2 total,  12573.0 free,    820.5 used,   2615.7 buff/cache
MiB Mem :  16009.2 total,  12573.0 free,    820.5 used,   2615.7 buff/cache
MiB Mem :  16009.2 total,  12573.0 free,    820.5 used,   2615.7 buff/cache
MiB Mem :  16009.2 total,  12573.0 free,    820.5 used,   2615.7 buff/cache
MiB Mem :  16009.2 total,  12573.0 free,    820.5 used,   2615.7 buff/cache
MiB Mem :  16009.2 total,  12572.3 free,    821.2 used,   2615.8 buff/cache
MiB Mem :  16009.2 total,  12572.3 free,    821.2 used,   2615.8 buff/cache
MiB Mem :  16009.2 total,  12572.3 free,    821.2 used,   2615.8 buff/cache
MiB Mem :  16009.2 total,  12572.3 free,    821.2 used,   2615.8 buff/cache
MiB Mem :  16009.2 total,  12572.3 free,    821.2 used,   2615.8 buff/cache
MiB Mem :  16009.2 total,  12572.3 free,    821.2 used,   2615.8 buff/cache
MiB Mem :  16009.2 total,  12575.7 free,    817.7 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12575.7 free,    817.7 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12575.7 free,    817.7 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12575.7 free,    817.7 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12575.7 free,    817.7 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12575.7 free,    817.7 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.3 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.3 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.3 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.3 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.3 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.3 used,   2615.9 buff/cache
MiB Mem :  16009.2 total,  12575.5 free,    817.7 used,   2616.0 buff/cache
MiB Mem :  16009.2 total,  12575.5 free,    817.7 used,   2616.0 buff/cache
MiB Mem :  16009.2 total,  12575.5 free,    817.7 used,   2616.0 buff/cache
MiB Mem :  16009.2 total,  12575.5 free,    817.7 used,   2616.0 buff/cache
MiB Mem :  16009.2 total,  12575.5 free,    817.7 used,   2616.0 buff/cache
MiB Mem :  16009.2 total,  12575.5 free,    817.7 used,   2616.0 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.1 used,   2616.1 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.1 used,   2616.1 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.1 used,   2616.1 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.1 used,   2616.1 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.1 used,   2616.1 buff/cache
MiB Mem :  16009.2 total,  12576.0 free,    817.1 used,   2616.1 buff/cache
MiB Mem :  16009.2 total,  12575.8 free,    817.3 used,   2616.2 buff/cache
MiB Mem :  16009.2 total,  12575.8 free,    817.3 used,   2616.2 buff/cache
MiB Mem :  16009.2 total,  12575.8 free,    817.3 used,   2616.2 buff/cache
MiB Mem :  16009.2 total,  12575.8 free,    817.3 used,   2616.2 buff/cache
